drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
冷酒,750,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
黒丸（芋）,620,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
大隅（芋・麦）,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
八重丸,620,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
紀州南高梅酒,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
澄みわたる梅酒,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
ウーロン茶/コーラ/ジンジャエール/オレンジジュース/純氷グレープフルーツジュース,340,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
カルピス/カルピスソーダ/メロンソーダ/ゆずソーダ/青りんごソーダ/パイナップルソ-ダ,340,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
オールフリー,380,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
まるで梅酒なノンアルコール,380,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
こだわり酒場のレモンサワー,490,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
赤いレモンサワー,490,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
スパイシーレモンサワー,490,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
プレミアムレモンサワー,490,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ハイボール,430,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
コークハイボール,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ジンジャーハイボール,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
大人のコカ・コーラフロート,490,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
知多ハイボール,590,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
デュワーズ12年ハイボール,590,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
生ビール,590,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ノンアルコールビール,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
リンゴサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ストロベリーサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
山梨ピオーネサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
パインサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ピーチサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ピンクグレープフルーツサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
宮崎マンゴーサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
カルピスサワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
男梅サワー,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
宇治抹茶ハイ,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ウーロンハイ,390,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
黒ウーロンハイ,430,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
緑茶ハイ,390,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
翠　ジンソーダ,470,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
モスコミュール(ウォッカジンジャー),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
