drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
日本酒,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
芋焼酎,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
麦焼酎,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
米焼酎,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
梅酒,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ウイスキー,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ボトル・グラスのご用意ございます,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ボトル・グラスのご用意ございます,,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
Vino Degustazione ペアリングワインコース,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Mimosa Rossa,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Bellini,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Kir Royal,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Premium Malt’s (334ml),,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
MINOHO Birra,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Galvanina (355ml),,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Bibita allo Zenzero,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Succo,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Birra analcolico,,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Vino analcolico (Bianco o Rosso),,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Acqua (Naturale o Frizzante),,イタリアン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
日本酒好きにはたまらない銘柄を取揃えております。,,寿司,髙橋 謙太郎,大阪府 大阪市北区 曽根崎新地 1-7-5 バサラビル 4Ｆ,050-3134-3336,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27087204/dtlmenu/drink/
ビール(中瓶),500,うどん、天ぷら・揚げ物（その他）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
チューハイ(レモン),380,うどん、天ぷら・揚げ物（その他）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
ハイボール,380,うどん、天ぷら・揚げ物（その他）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
グラス シャンパーニュ,,ステーキ、イタリアン、ワインバー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
グラス 白ワイン,,ステーキ、イタリアン、ワインバー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
グラス 赤ワイン,,ステーキ、イタリアン、ワインバー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
※ボトルワインの詳細は店舗にてスタッフにご確認下さい。,,ステーキ、イタリアン、ワインバー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
ワイン各種,,イノベーティブ・フュージョン、イタリアン、魚介料理・海鮮料理,十皿,大阪府 大阪市北区 西天満 2-7-26 徳矢ビル 1F,06-7709-1283,34.6959418,135.5021224,https://tabelog.com/osaka/A2701/A270101/27106878/dtlmenu/drink/
瓶ビール,500,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
焼酎（麦・芋）,500,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
コーラ,300,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
ジンジャーエール,300,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
オレンジジュース,300,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
烏龍茶,300,うどん、天ぷら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
サントリー「マスターズ・ドリーム」,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
チューハイ,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
伊丹老松,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
全国各地の地酒を月替わりに楽しめます,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山口】獺祭,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山形】上喜元 超辛,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【滋賀】松の司 しぼりたて生,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【高知】酔鯨,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【福井】梵,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
